CL,Descriptive_JobTitle,skills,primary skills,business_type,req_type,priority,Rec_Status,req_category,HSU,Assigned_HSU,rec_city,positions,Unresponded_Pos_Opcl,Unresponded_Pos_Hold,rejections,max submission,submissions,hits,hires,Sourced,Rec_location,Metro_Area,Total_starts,Total_hires,Total_perm_hires,Total_perm_starts,BD,CLis_missing,Descriptive_JobTitleis_missing,skillsis_missing,primary skillsis_missing,business_typeis_missing,req_typeis_missing,priorityis_missing,Rec_Statusis_missing,req_categoryis_missing,HSUis_missing,Assigned_HSUis_missing,rec_cityis_missing,Rec_locationis_missing,Metro_Areais_missing,Actual_billrate,predicted_billrate
4,2460,5238,1416,2,4,4,3,1,17,2,482,1,0,0,0,2,2,0,0,3,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,85.37619999999998
4,5626,13372,1638,2,1,4,1,1,14,2,109,1,0,0,0,2,11,1,0,24,17,173,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,109.0,98.67450000000002
4,1922,14609,1447,2,1,4,3,1,13,1,482,1,0,0,1,2,3,1,1,3,9,155,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,92.48019999999998
4,4340,4913,1277,2,1,5,4,1,12,1,498,1,0,0,2,2,4,1,1,5,54,161,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,78.48,79.7984
4,21,97,163,2,1,2,1,1,12,1,413,3,0,0,0,6,0,0,0,0,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,74.0,88.16510000000004
4,6603,6555,580,2,1,5,5,1,4,2,288,1,0,0,1,2,3,2,1,23,27,85,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,115.0,107.75959999999998
4,6652,8018,454,2,4,6,1,1,6,1,365,1,0,0,0,2,2,0,0,11,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,66.0,97.9993
4,1809,2342,1416,2,4,4,3,1,17,2,482,1,0,0,0,2,2,0,0,4,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,84.3591
4,688,9695,1416,2,4,4,3,1,14,2,102,1,0,0,0,2,3,0,0,3,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57.0,60.965
4,4140,5836,385,2,4,4,3,1,12,1,357,1,0,0,0,2,4,0,0,9,45,112,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,78.0215
4,5833,16756,1886,3,4,6,1,1,12,1,470,3,0,0,1,2,9,1,0,1,30,173,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90.0,88.18270000000003
